group, image, marker_id, v0_x, v0_y, v1_x, v1_y, v2_x, v2_y, v3_x, v3_y
grp1, 6.png, 6, 231.0, 1381.0, 434.0, 1387.0, 423.0, 1528.0, 221.0, 1522.0
grp1, 6.png, 5, 582.0, 1088.0, 785.0, 1094.0, 774.0, 1235.0, 572.0, 1229.0
grp1, 6.png, 4, 231.0, 1088.0, 434.0, 1094.0, 423.0, 1235.0, 221.0, 1230.0
grp1, 6.png, 3, 699.0, 678.0, 902.0, 684.0, 892.0, 825.0, 689.0, 819.0
grp1, 6.png, 2, 231.0, 678.0, 434.0, 684.0, 423.0, 825.0, 221.0, 819.0
grp1, 6.png, 1, 817.0, 150.0, 1020.0, 157.0, 1009.0, 298.0, 806.0, 292.0
grp1, 6.png, 0, 231.0, 150.0, 434.0, 157.0, 423.0, 298.0, 221.0, 292.0
grp1, 7.png, 7, 653.0, 1381.0, 855.0, 1387.0, 845.0, 1528.0, 642.0, 1522.0
grp1, 7.png, 6, 324.0, 1381.0, 527.0, 1387.0, 517.0, 1528.0, 314.0, 1522.0
grp1, 7.png, 5, 629.0, 1088.0, 832.0, 1094.0, 821.0, 1235.0, 619.0, 1230.0
grp1, 7.png, 4, 254.0, 1088.0, 457.0, 1094.0, 446.0, 1235.0, 244.0, 1230.0
grp1, 7.png, 3, 711.0, 678.0, 914.0, 684.0, 903.0, 825.0, 701.0, 819.0
grp1, 7.png, 2, 237.0, 678.0, 439.0, 684.0, 429.0, 825.0, 226.0, 819.0
grp1, 7.png, 1, 820.0, 150.0, 1022.0, 157.0, 1012.0, 298.0, 809.0, 292.0
grp1, 7.png, 0, 231.0, 150.0, 434.0, 157.0, 423.0, 298.0, 221.0, 292.0
